T_GeV,T_MeV,a_internal,a_physical,z,H_RTK_over_c_Mpc_inv,H_sameparams_LCDM_over_c_Mpc_inv,R_H
0.00018449395677620793,0.18449395677620794,1.2222251043915552e-07,2.8719964395509886e-08,749931748.6651726,97885854680.17123,97885855476.80879,0.9999999918605598
0.00019331219017565335,0.19331219017565335,1.211876117895871e-07,2.9247343661523664e-08,778577239.134387,101161003697.61513,101161004538.84698,0.999999991684642
0.00020260803888831422,0.20260803888831422,1.2002114314216154e-07,2.9786644623503055e-08,808547158.4679254,104519785422.36414,104519786310.52946,0.9999999915029786
0.00021241107460076522,0.21241107460076522,1.1872066725740307e-07,3.0338418062898957e-08,839917167.3632755,107964092676.68848,107964093614.2091,0.9999999913181282
0.00022275344693333578,0.22275344693333577,1.1728382678239033e-07,3.090322282041445e-08,872767366.9605476,111495860819.1571,111495861808.53192,0.9999999911231576
0.00023367015726116094,0.23367015726116094,1.1570846266064324e-07,3.148162449888827e-08,907182534.0453646,115117069427.86725,115117070471.68196,0.9999999909476515
0.00024519936441244236,0.24519936441244236,1.1399263163697608e-07,3.20741931775472e-08,943252367.0927849,118829743034.25423,118829744135.18289,0.9999999907264424
0.00025738272026341773,0.25738272026341774,1.1213462327043835e-07,3.268150043857049e-08,981071728.9910537,122635952939.57004,122635954100.37787,0.9999999905357503
0.00027026574818753095,0.27026574818753096,1.1013297488633298e-07,3.3304126126032136e-08,1020740933.5841414,126537818975.49585,126537820198.04155,0.9999999903375639
0.0002838982923772732,0.2838982923772732,1.0798639005127072e-07,3.3942658526595705e-08,1062361084.8406992,130537510300.28697,130537511586.52312,0.9999999901460103
0.0002983340740919033,0.2983340740919033,1.0569385908556293e-07,3.4597694184854026e-08,1106030960.861162,134637247722.68636,134637249074.66164,0.999999989958883
0.0003136312486371061,0.3136312486371061,1.0325468336397127e-07,3.52700213887356e-08,1151855303.856713,138839305389.585,138839306809.44574,0.999999989773624
0.0003298520123968578,0.3298520123968578,1.006685010946503e-07,3.596033450511223e-08,1199945607.2148652,143146011127.37167,143146012617.36636,0.9999999895910345
0.0003470632575019249,0.3470632575019249,9.793533218471502e-08,3.6669429442341214e-08,1250420997.6007783,147559748506.69327,147559750069.17346,0.9999999894102634
0.0003653372898281305,0.3653372898281305,9.505164138953033e-08,3.739810277440635e-08,1303409141.7155778,152082958989.75797,152082960627.18094,0.9999999892348417
0.00038475258409417347,0.38475258409417345,9.201764489949192e-08,3.8147151809874516e-08,1359047206.3479028,156718143895.50803,156718145610.4382,0.999999989058784
